time,ssrd,d2m,t2m
202001070300,0,13.686365,19.500145
202001070400,0,13.73684,19.22708
202001070500,0,13.69778,18.90413
202001070600,0,14.176535,18.55087
202001070700,8.476466944,14.6354,18.46853
202001070800,71.08464236,14.895465,18.84512
202001070900,224.3012847,14.90225,20.14547
202001071000,391.5920139,14.41494,21.5505
202001071100,543.2192361,13.971035,22.29
202001071200,622.705,13.457055,22.707175
202001071300,633.9159722,12.985925,22.948755
202001071400,592.1578472,12.60805,23.321135
202001071500,456.6565278,12.20815,23.301415
202001071600,300.0023472,12.35647,23.34017
202001071700,152.7880694,13.3218,23.435635
202001071800,23.92621056,13.02065,23.107135
202001071900,0,13.62991,21.898525
202001072000,0,13.74337,21.1747
202001072100,0,13.12722,20.67465
202001072200,0,12.36996,19.78335
202001072300,0,11.645715,19.197965
202001080000,0,11.19607,18.81515
202001080100,0,11.01736,18.51668
202001080200,0,11.096095,18.302515
202001080300,0,11.488185,17.973415
202001080400,0,11.919825,17.891025
202001080500,0,11.90634,17.60275
202001080600,0,12.20895,17.361595
202001080700,10.44652778,12.62722,17.11593
202001080800,86.61067222,13.02511,17.36221
202001080900,268.4902917,13.426535,18.49801
202001081000,447.7127083,13.70083,19.975365
202001081100,574.6544444,14.10562,21.17965
202001081200,633.7204861,14.415005,22.290495
202001081300,662.4840278,14.327905,23.12093
202001081400,612.581875,13.770105,23.48672
202001081500,458.5170833,13.5674,23.58554
202001081600,261.7483472,13.72145,23.57534
202001081700,98.24553056,13.905535,23.286645
202001081800,19.07022083,13.8016,23.01785
202001081900,0,13.972375,22.85476
202001082000,0,14.309535,22.7676
202001082100,0,14.59579,22.7134
202001082200,0,14.707185,22.702475
202001082300,0,14.61922,22.722865
202001090000,0,14.683315,22.72219
202001090100,0,14.71834,22.595605
202001090200,0,14.72756,22.51846
202001090300,0,14.782925,22.628505
202001090400,0,14.64327,22.86556
202001090500,0,14.576075,23.03811
202001090600,0,14.9404,22.94894
202001090700,6.2652125,15.172575,23.02816
202001090800,53.34723889,15.3448,23.2178
202001090900,171.43105,15.43026,23.677265
202001091000,297.5892278,15.77755,23.97915
202001091100,407.6225694,16.212115,24.062405
202001091200,486.3025,16.2316,24.16122
202001091300,478.7871528,16.21505,24.258145
202001091400,543.64125,16.1047,24.339015
202001091500,434.7769444,16.06942,24.15969
202001091600,325.5153056,16.134175,23.95486
202001091700,127.7548472,16.096155,23.71664
202001091800,15.92867181,16.65828,23.69033
202001091900,0,17.2142,23.676715
202001092000,0,17.6968,23.73336
202001092100,0,17.9783,23.707785
202001092200,0,18.2488,23.616845
202001092300,0,18.61392,23.373805
202001100000,0,18.77804,23.269675
202001100100,0,18.86087,23.36843
202001100200,0,18.993615,23.43148
202001100300,0,19.313985,23.50546
202001100400,0,19.340165,23.6343
202001100500,0,19.198025,23.6863
202001100600,0,19.45748,23.61526
202001100700,7.712855833,19.563315,23.59866
202001100800,61.94355486,19.6517,23.826925
202001100900,190.3539861,19.73653,24.147055
202001101000,337.6156944,19.76736,24.404625
202001101100,478.8979861,19.82406,24.58236
202001101200,526.9079861,19.88405,24.682825
202001101300,487.1397222,19.897,24.720735
202001101400,375.7015972,19.8583,24.707845
202001101500,390.1627222,19.879415,24.68637
202001101600,251.2896597,20.153345,24.543055
202001101700,108.4659222,20.52705,24.45663
202001101800,20.59389361,20.63412,24.25228
202001101900,0,20.74331,24.23452
202001102000,0,20.863125,24.19704
202001102100,0,21.10421,24.082055
202001102200,0,21.2225,24.18014
202001102300,0,21.302635,24.202295
202001110000,0,21.46767,24.21127
202001110100,0,21.551785,24.21695
202001110200,0,21.520655,24.19021
202001110300,0,21.56094,24.2015
202001110400,0,21.670675,24.280175
202001110500,0,21.662925,24.365195
202001110600,0,21.559785,24.44149
202001110700,8.372369722,21.589135,24.532375
202001110800,66.47426181,21.67416,24.749415
202001110900,208.8127083,21.61661,25.13101
202001111000,383.5732639,21.64309,25.46725
202001111100,533.7721528,21.7034,25.674095
202001111200,600.3827083,21.74545,25.840295
202001111300,635.5729167,21.8193,25.833575
202001111400,560.7534722,21.80367,25.7966
202001111500,446.7049306,21.80032,25.752525
202001111600,276.6511458,21.786465,25.629975
202001111700,137.5453861,21.944725,25.386865
202001111800,25.53959583,21.967975,25.133205
202001111900,0,22.005455,24.95071
202001112000,0,22.01675,24.79128
202001112100,0,22.089565,24.683435
202001112200,0,22.11355,24.540305
202001112300,0,22.132285,24.440215
202001120000,0,22.12662,24.32699
202001120100,0,22.17153,24.248135
202001120200,0,22.22982,24.33809
202001120300,0,22.20919,24.27132
202001120400,0,22.210715,24.233735
202001120500,0,22.108975,24.2748
202001120600,0,22.07589,24.32582
202001120700,9.456609722,22.02822,24.474635
202001120800,75.85419722,21.991665,24.74795
202001120900,231.8719917,21.98409,25.202295
202001121000,394.9392361,22.004355,25.47659
202001121100,505.4613194,21.96639,25.375205
202001121200,496.2126389,21.93142,25.11965
202001121300,504.9501389,22.07222,25.39255
202001121400,548.4897222,21.99697,25.57144
202001121500,405.92775,22.01937,25.67776
202001121600,236.272425,22.102435,25.36056
202001121700,123.8250236,22.097255,25.12027
202001121800,20.84244792,21.962245,24.87112
202001121900,0,22.040985,24.75509
202001122000,0,22.071925,24.67776
202001122100,0,22.107385,24.571315
202001122200,0,22.1412,24.45126
202001122300,0,22.02559,24.285485
202001130000,0,21.883075,24.160425
202001130100,0,21.746235,24.07229
202001130200,0,21.59982,23.94552
202001130300,0,21.502035,23.83364
202001130400,0,21.43673,23.796965
202001130500,0,21.10818,23.69912
202001130600,0,21.1503,23.723285
202001130700,9.312209722,21.16946,23.81008
202001130800,75.05482083,21.13839,24.1448
202001130900,227.6890278,20.90065,24.68154
202001131000,382.6516667,20.96371,25.10042
202001131100,524.39875,20.882775,25.330715
202001131200,618.3604861,20.80319,25.38185
202001131300,636.8520139,20.713405,25.37539
202001131400,625.5229861,20.66592,25.340355
202001131500,511.6265278,20.683375,25.24935
202001131600,356.461875,20.65426,25.12539
202001131700,172.5462111,20.575035,24.870995
202001131800,29.63231667,20.805265,24.668665
202001131900,0,21.1495,24.66262
202001132000,0,21.05971,24.550015
202001132100,0,21.256735,24.67739
202001132200,0,21.438745,24.79055
202001132300,0,21.52248,24.72934
202001140000,0,21.59127,24.603235
202001140100,0,21.694235,24.57912
202001140200,0,21.74422,24.5259
202001140300,0,21.804955,24.416895
202001140400,0,21.798425,24.359275
202001140500,0,21.97665,24.436125
202001140600,0,21.99295,24.40145
202001140700,8.877695278,21.93362,24.462125
202001140800,75.60010417,21.74496,24.606345
202001140900,241.6170222,21.491235,24.946565
202001141000,412.4,21.363125,25.17373
202001141100,537.501875,21.21785,25.10464
202001141200,624.8251389,20.987025,25.03158
202001141300,663.4457639,20.85567,25.098835
202001141400,629.80125,20.6763,24.98159
202001141500,518.3308333,20.319115,24.87862
202001141600,357.4779167,20.019615,24.743435
202001141700,164.4841944,19.56796,24.614345
202001141800,31.65890625,19.519185,24.258325
202001141900,0,19.668845,24.00832
202001142000,0,19.57992,23.98086
202001142100,0,19.50137,23.793605
202001142200,0,19.354395,23.69735
202001142300,0,19.052025,23.60556
202001150000,0,18.8442,23.50283
202001150100,0,18.51534,23.37722
202001150200,0,18.036155,23.188255
202001150300,0,17.644065,22.9656
202001150400,0,17.50271,22.775965
202001150500,0,17.363125,22.469995
202001150600,0,17.38436,22.32449
202001150700,9.964744444,17.337245,22.404075
202001150800,82.06095972,17.17727,22.93215
202001150900,256.9775556,16.902,24.07821
202001151000,435.2875694,16.6484,24.595915
202001151100,568.7988194,16.651395,24.902305
202001151200,680.7702083,16.62655,25.017845
202001151300,707.6710417,16.64059,24.985195
202001151400,656.0871528,16.626185,24.94186
202001151500,540.3008333,16.58957,24.92111
202001151600,375.4865833,16.744655,24.695095
202001151700,183.0675486,17.052765,24.23825
202001151800,34.64155,17.22018,23.84268
202001151900,0,17.3558,23.590845
202001152000,0,17.51101,23.50637
202001152100,0,17.665675,23.3547
202001152200,0,17.860125,23.20815
202001152300,0,17.705465,23.09103
202001160000,0,17.574365,22.88717
202001160100,0,17.5433,22.75948
202001160200,0,17.47512,22.57295
202001160300,0,17.374845,22.2737
202001160400,0,17.2895,22.16903
202001160500,0,17.01119,21.92855
202001160600,0,17.01028,21.99209
202001160700,10.62253056,16.9675,22.16061
202001160800,87.76234444,16.853175,22.631615
202001160900,272.4353667,16.5953,23.74502
202001161000,459.7020139,16.10623,24.44277
202001161100,607.2138889,16.173115,24.699305
202001161200,689.8565972,16.14194,24.8304
202001161300,702.8898611,16.11965,24.8384
202001161400,660.4343056,16.110375,24.72817
202001161500,546.2778472,16.18386,24.61221
202001161600,370.0027083,16.57156,24.4432
202001161700,175.4429806,17.579065,24.10287
202001161800,35.38651042,17.75558,23.60098
202001161900,0,18.00778,23.39065
202001162000,0,18.1647,23.362265
202001162100,0,18.41524,23.33895
202001162200,0,18.66793,23.134605
202001162300,0,18.78518,22.96572
202001170000,0,18.96646,22.905665
202001170100,0,19.050865,22.907865
202001170200,0,19.03763,22.913905
202001170300,0,18.93631,22.71334
202001170400,0,19.0386,22.616605
202001170500,0,19.29861,22.5093
202001170600,0,19.34701,22.4786
202001170700,7.709670139,19.51474,22.536035
202001170800,63.13835972,19.75271,22.928065
202001170900,196.7042917,19.661155,23.287195
202001171000,333.7702778,19.67977,23.64382
202001171100,437.3545139,20.0754,23.968165
202001171200,520.0102778,20.030545,24.00027
202001171300,542.7577778,19.90127,23.98587
202001171400,454.2292361,19.59334,23.837915
202001171500,366.162625,19.645285,23.644
202001171600,230.0958528,19.634,23.72464
202001171700,117.8566389,19.77535,23.50747
202001171800,25.33541667,19.71242,23.2756
202001171900,0,19.500025,23.086995
202001172000,0,19.32217,23.014615
202001172100,0,19.06222,22.96456
202001172200,0,18.786885,22.93844
202001172300,0,18.559105,22.984945
202001180000,0,18.40499,22.90518
202001180100,0,18.40945,22.78792
202001180200,0,18.391385,22.64132
202001180300,0,18.49337,22.46786
202001180400,0,18.10598,22.29806
202001180500,0,16.926725,22.162685
202001180600,0,16.70925,22.08969
202001180700,7.598142361,16.3749,22.09725
202001180800,60.7827125,16.050685,22.262665
202001180900,193.6797778,15.835535,22.573205
202001181000,352.4667361,15.84316,22.859215
202001181100,466.2633333,16.159085,23.164635
202001181200,523.9423611,16.095605,23.3854
202001181300,571.556875,15.99704,23.478665
202001181400,533.6870833,15.9894,23.522425
202001181500,462.1574306,15.755265,23.487695
202001181600,308.5488611,15.4733,23.55758
202001181700,135.9180653,15.44559,23.594445
202001181800,27.38319028,15.951565,23.20675
202001181900,0,16.36977,22.95297
202001182000,0,16.56216,22.88442
202001182100,0,16.61281,22.93844
202001182200,0,16.44735,22.83071
202001182300,0,16.19515,22.8209
202001190000,0,16.06302,22.80313
202001190100,0,16.0079,22.73629
202001190200,0,15.78982,22.57864
202001190300,0,15.704125,22.52682
202001190400,0,15.76534,22.232935
202001190500,0,15.81514,22.10952
202001190600,0,15.87112,22.194055
202001190700,9.694952778,15.90597,22.2673
202001190800,77.36689583,15.97817,22.69027
202001190900,240.8682778,16.152915,23.75344
202001191000,426.1697222,16.032925,24.405175
202001191100,576.2315972,16.34933,24.72268
202001191200,663.8172917,16.655115,24.91207
202001191300,702.624375,17.085905,24.96255
202001191400,647.9724306,17.56753,24.82858
202001191500,530.5511111,18.07669,24.570155
202001191600,366.129375,18.649735,24.3669
202001191700,185.5138847,19.23916,23.9476
202001191800,38.39669167,19.376615,23.478175
202001191900,0,19.61129,23.26852
202001192000,0,19.77834,23.021025
202001192100,0,19.921535,22.74636
202001192200,0,20.11885,22.52896
202001192300,0,20.14425,22.396755
202001200000,0,20.0718,22.269495
202001200100,0,20.04378,22.064355
202001200200,0,19.9095,21.71462
202001200300,0,19.91958,21.54512
202001200400,0,19.827965,21.6182
202001200500,0,19.5098,21.7466
202001200600,0,19.58438,21.617455
202001200700,7.071770833,19.757045,21.452415
202001200800,61.68644167,19.833215,21.560145
202001200900,178.7372708,19.72128,21.96481
202001201000,266.5047222,19.571255,22.466275
202001201100,395.1065278,19.349515,23.049215
202001201200,437.6154167,18.94015,23.430505
202001201300,406.3820833,18.7405,23.518215
202001201400,376.3963889,18.3453,23.474025
202001201500,325.0811806,17.665495,23.25838
202001201600,245.6774722,17.40115,23.18448
202001201700,119.7732083,17.224085,22.815385
202001201800,33.112825,16.57815,22.33511
202001201900,0,15.9581,21.873125
202001202000,0,15.308125,21.29795
202001202100,0,14.26413,20.51443
202001202200,0,13.016815,19.453085
202001202300,0,11.85562,18.53335
202001210000,0,11.47244,17.910485
202001210100,0,11.431115,17.25936
202001210200,0,11.31759,16.469505
202001210300,0,11.481165,15.83749
202001210400,0,11.764675,15.33169
202001210500,0,11.683005,14.81881
202001210600,0,12.012415,14.507225
202001210700,10.76852917,11.90927,14.178485
202001210800,87.39702917,11.47958,14.182705
202001210900,269.3771111,11.095975,15.00027
202001211000,459.8388889,11.01321,16.412255
202001211100,620.6924306,10.84512,17.607325
202001211200,722.0621528,10.39614,18.70083
202001211300,742.7795833,9.50295,19.44271
202001211400,692.4169444,8.34725,19.91293
202001211500,575.62,7.169945,20.06185
