"time","tp"
200201111700,0.011968696
200201111800,0.003681132
200201111900,0.0000286
200201112000,0.00012398
200201112100,0.013734498
200201112200,0.004005687
200201112300,0.001678638
200201120000,0.334991841
200201120100,1.097662607
200201120200,0.715095783
200201120300,0.21557638
200201120400,0.138007686
200201120500,0.627448899
200201120600,0.816583983
200201120700,0.278026098
200201120800,0.033397817
200201120900,0.016422287
200201121000,0.044966335
200201121100,0.068283407
200201121200,0.037155274
200201121300,0.04495644
200201121400,0.104704166
200201121500,0.17040642
200201121600,0.610565883
200201121700,0.624428387
200201121800,0.063248975
200201121900,0.051537674
200201122000,0.003948288
200201122100,0.022794804
200201122200,0.396149117
200201122300,1.606383361
200201130000,0.779398717
200201130100,0.750340638
200201130200,1.190452604
200201130300,0.324915512
200201130400,0.066227687
200201130500,0.961260987
200201130600,1.206498011
200201130700,0.069389433
200201130800,0.020199019
200201130900,0.018654202
200201131000,0.098133889
200201131100,0.376758631
200201131200,0.437106937
200201131300,0.736478134
200201131400,0.739737996
200201131500,0.175293419
200201131600,0.088778317
200201131700,0.029211304
200201131800,0.00209814
200201131900,0.0000572
200201132000,0
200201132100,0.000114454
200201132200,0.175555819
200201132300,0.034463956
200201140000,0.104820334
200201140100,0.472576241
200201140200,0.35352516
200201140300,0.17555966
200201140400,0.283414032
200201140500,0.564309885
200201140600,0.419601914
200201140700,0.400148681
200201140800,0.439943862
200201140900,0.112789901
200201141000,0.05574026
200201141100,0.07935652
200201141200,0.081397033
200201141300,0.124751008
200201141400,0.136256334
200201141500,0.084947947
200201141600,0.333060161
200201141700,0.535852276
200201141800,0.293208519
200201141900,0.025912486
200201142000,0
200201142100,0
200201142200,0.000524535
200201142300,0.002317368
200201150000,0.079566664
200201150100,0.361851882
200201150200,0.68049843
200201150300,0.548530836
200201150400,1.457879669
200201150500,1.80644705
200201150600,1.420383924
200201150700,1.204623142
200201150800,0.655044452
200201150900,0.444576726
200201151000,0.206965953
200201151100,0.077990415
200201151200,0.022230182
200201151300,0.068464913
200201151400,0.086245651
200201151500,0.465473509
200201151600,0.632479321
200201151700,0.153534929
200201151800,0.23544475
200201151900,0.039920778
200201152000,0.024814617
200201152100,0.000553103
200201152200,0.000514948
200201152300,0.089769484
200201160000,0.306597329
200201160100,0.53921889
200201160200,0.073701311
200201160300,0.00815394
200201160400,0.009470074
200201160500,0.005016398
200201160600,0.007619986
200201160700,0.017404731
200201160800,0.022239954
200201160900,0.029440584
200201161000,0.078860445
200201161100,0.199797563
200201161200,0.314263511
200201161300,1.169747789
200201161400,0.380945043
200201161500,0.250203651
200201161600,0.319393817
200201161700,0.31652418
200201161800,0.262267306
200201161900,0.124044134
200201162000,0.113284856
200201162100,0.036412654
200201162200,0.041265739
200201162300,0.034580487
200201170000,0.017710059
200201170100,0.062209561
200201170200,0.011053176
200201170300,0.015058926
200201170400,0.012302393
200201170500,0.024480862
200201170600,0.35927596
200201170700,0.468404382
200201170800,0.239566667
200201170900,0.064830143
200201171000,0.051230367
200201171100,0.047283487
200201171200,0.044518107
200201171300,0.076556193
200201171400,0.044311557
200201171500,0.06835485
200201171600,0.005655477
200201171700,0.002422392
200201171800,0.003929125
200201171900,0.001506733
200201172000,0.001058525
200201172100,0.010529351
200201172200,0.02551006
200201172300,0.016384438
200201180000,0
200201180100,0
200201180200,0.0000858
200201180300,0.000171649
200201180400,0.0000858
200201180500,0
200201180600,0.0000286
200201180700,0.024052184
200201180800,0.108671869
200201180900,0.128691434
200201181000,0.295018661
200201181100,0.135556329
200201181200,0.09020781
200201181300,0.014000012
200201181400,0.007333831
200201181500,0.060803264
200201181600,0.02816417
200201181700,0.018224651
200201181800,0.004501533
200201181900,0.000286119
200201182000,0.000143052
200201182100,0.046319758
200201182200,0.000514948
200201182300,0.00012398
200201190000,0.108526685
200201190100,0.162980403
200201190200,0.201719813
200201190300,0.314090634
200201190400,0.306111178
200201190500,0.350143411
200201190600,0.457915012
200201190700,0.446289079
200201190800,0.399435754
200201190900,0.449446961
200201191000,0.309324358
200201191100,0.150796724
200201191200,0.183918979
200201191300,0.129328924
200201191400,0.213768217
200201191500,0.348142581
200201191600,0.362569932
200201191700,0.106758926
200201191800,0.015954523
200201191900,0.136194634
200201192000,0.000905992
200201192100,0.20189723
200201192200,0.636663171
200201192300,0.259606168
200201200000,0.135964481
200201200100,0.365101499
200201200200,1.059164875
200201200300,0.870276126
200201200400,0.528879929
200201200500,0.410804409
200201200600,0.453834655
200201200700,0.555551145
200201200800,0.549273333
200201200900,0.399033772
200201201000,0.217732624
200201201100,0.176593312
200201201200,0.17154438
200201201300,0.358612975
200201201400,0.110506327
200201201500,0.118100856
200201201600,0.591036864
200201201700,0.614457764
200201201800,0.368404784
200201201900,0.197387417
200201202000,0.194215681
200201202100,0.138193835
200201202200,0.260834699
200201202300,0.23883814
200201210000,0.162036973
200201210100,0.246238778
200201210200,0.448648818
200201210300,0.32412447
200201210400,0.268605421
200201210500,0.259613502
200201210600,0.228497898
200201210700,0.188071281
200201210800,0.206445577
200201210900,0.2246527
200201211000,0.201174174
200201211100,0.087623353
200201211200,0.079049532
200201211300,0.071296199
200201211400,0.037393409
200201211500,0.015344507
200201211600,0.008096671
200201211700,0.031432312
200201211800,0.015506339
200201211900,0.009517447
200201212000,0.00816337
200201212100,0.00830627
200201212200,0.000171649
200201212300,0.00029563
200201220000,0.051489915
200201220100,0.049954309
200201220200,0.096444659
200201220300,0.177536509
200201220400,0.364433392
200201220500,0.091312591
200201220600,0.028259194
200201220700,0.008898074
200201220800,0.006284764
200201220900,0.007143108
200201221000,0.031328411
200201221100,0.082607963
200201221200,0.153408386
200201221300,0.069485475
200201221400,0.044538872
200201221500,2.219727263
200201221600,0.16615435
200201221700,0.08679297
200201221800,0.026302463
200201221900,0.002441452
200201222000,0.003967373
200201222100,0.029907707
200201222200,0.013799639
200201222300,0.000343298
200201230000,0
200201230100,0.048414688
200201230200,0.302727451
200201230300,0.472908374
200201230400,0.069299786
200201230500,0.003671552
200201230600,0.149939791
200201230700,0.151262619
200201230800,0.114709139
200201230900,0.018892657
200201231000,0.007581714
200201231100,0.025720903
200201231200,0.037537247
200201231300,0.050497525
200201231400,0.050429917
200201231500,0.107475396
200201231600,0.942227431
200201231700,0.171192456
200201231800,0.065385022
200201231900,0.001363784
200201232000,0
200201232100,0
200201232200,0
200201232300,0.00066757
200201240000,0.001201619
200201240100,0.000762908
200201240200,0.109808476
200201240300,0.274793711
200201240400,0.283950358
200201240500,0.136303832
200201240600,0.072861447
200201240700,0.193404849
200201240800,0.109270572
200201240900,0.157079543
200201241000,0.252979924
200201241100,0.182208372
200201241200,0.092429778
200201241300,0.173639972
200201241400,0.067216861
200201241500,0.003347456
200201241600,0.020370549
200201241700,0.006894987
200201241800,0.024984838
200201241900,0.007057163
200201242000,0.008868992
200201242100,0.16797916
200201242200,0.006513262
200201242300,0.010700307
200201250000,0.479546143
200201250100,0.655367039
200201250200,0.516336295
200201250300,0.857834821
200201250400,1.010784879
200201250500,0.810171594
200201250600,0.213549007
200201250700,0.426937942
200201250800,0.078335404
200201250900,0.026073321
200201251000,0.035543388
200201251100,0.035076067
200201251200,0.042095264
200201251300,0.027294052
200201251400,0.038451952
200201251500,0.036983562
200201251600,0.040149556
200201251700,0.042839049
200201251800,0.009278883
200201251900,0.012817261
200201252000,0.095336545
200201252100,0.050374088
200201252200,0.047890244
200201252300,0.003251871
200201260000,0.404885272
200201260100,0.827050069
200201260200,0.615418656
200201260300,0.520645292
200201260400,0.012989534
200201260500,0.201625633
200201260600,0.521421083
200201260700,0.085040316
