"time","ssrd","SW_IN","SW_IN_lm"
"2020-01-03 01:30:00",0,NA,218.487218563975
"2020-01-03 02:00:00",0,NA,218.487218563975
"2020-01-03 02:30:00",0,NA,218.487218563975
"2020-01-03 03:00:00",0,NA,218.487218563975
"2020-01-03 03:30:00",0,NA,218.487218563975
"2020-01-03 04:00:00",0,NA,218.487218563975
"2020-01-03 04:30:00",0,NA,218.487218563975
"2020-01-03 05:00:00",0,NA,218.487218563975
"2020-01-03 05:30:00",0,NA,218.487218563975
"2020-01-03 06:00:00",0,NA,218.487218563975
"2020-01-03 06:30:00",4.6242274305,NA,218.487218563975
"2020-01-03 07:00:00",9.248454861,NA,218.487218563975
"2020-01-03 07:30:00",43.9270725705,NA,218.487218563975
"2020-01-03 08:00:00",78.60569028,NA,218.487218563975
"2020-01-03 08:30:00",163.53545624,NA,218.487218563975
"2020-01-03 09:00:00",248.4652222,NA,218.487218563975
"2020-01-03 09:30:00",332.7934097,NA,218.487218563975
"2020-01-03 10:00:00",417.1215972,NA,218.487218563975
"2020-01-03 10:30:00",473.3525347,NA,218.487218563975
"2020-01-03 11:00:00",529.5834722,NA,218.487218563975
"2020-01-03 11:30:00",551.57854165,NA,218.487218563975
"2020-01-03 12:00:00",573.5736111,NA,218.487218563975
"2020-01-03 12:30:00",583.9494097,NA,218.487218563975
"2020-01-03 13:00:00",594.3252083,NA,218.487218563975
"2020-01-03 13:30:00",573.9498611,NA,218.487218563975
"2020-01-03 14:00:00",553.5745139,NA,218.487218563975
"2020-01-03 14:30:00",502.33003475,NA,218.487218563975
"2020-01-03 15:00:00",451.0855556,NA,218.487218563975
"2020-01-03 15:30:00",380.8677917,NA,218.487218563975
"2020-01-03 16:00:00",310.6500278,NA,218.487218563975
"2020-01-03 16:30:00",228.13415,NA,218.487218563975
"2020-01-03 17:00:00",145.6182722,NA,218.487218563975
"2020-01-03 17:30:00",82.967046515,NA,218.487218563975
"2020-01-03 18:00:00",20.31582083,NA,218.487218563975
"2020-01-03 18:30:00",10.157910415,NA,218.487218563975
"2020-01-03 19:00:00",0,NA,218.487218563975
"2020-01-03 19:30:00",0,NA,218.487218563975
